"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","34.47","34.47","33.93","32.83","34.47","34.47","34.44","53.01","13.20","7,63,832","2,63,07,018.45","451"
"23-Aug-2024","EQ","33.85","34.25","32.52","33.67","32.90","32.83","33.00","53.01","13.20","4,60,435","1,51,92,465.16","2,407"
"22-Aug-2024","EQ","34.99","34.99","33.09","33.66","33.90","33.67","33.90","53.01","13.20","7,52,315","2,55,00,928.58","4,457"
"21-Aug-2024","EQ","32.10","33.66","32.10","32.06","33.66","33.66","33.43","53.01","13.20","10,15,053","3,39,31,183.10","3,030"
"20-Aug-2024","EQ","33.39","33.39","31.02","32.03","32.35","32.06","31.83","53.01","13.20","4,06,396","1,29,35,776.22","2,443"
"19-Aug-2024","EQ","31.44","32.39","30.84","30.85","32.00","32.03","31.85","53.01","13.20","7,11,319","2,26,58,777.36","3,088"
"16-Aug-2024","EQ","30.49","31.60","29.43","30.29","30.75","30.85","30.69","53.01","13.20","5,83,310","1,79,01,094.89","3,188"
"14-Aug-2024","EQ","31.79","32.69","29.84","31.21","30.40","30.29","30.94","53.01","13.20","12,26,698","3,79,54,976.79","4,987"
"13-Aug-2024","EQ","31.20","32.40","31.03","32.67","31.08","31.21","31.23","53.01","13.20","22,88,750","7,14,68,161.62","3,220"
"12-Aug-2024","EQ","33.05","34.14","32.67","34.39","32.67","32.67","32.90","53.01","13.20","11,07,530","3,64,42,291.20","2,397"
"09-Aug-2024","EQ","37.04","37.26","34.39","36.20","34.39","34.39","34.54","53.01","13.20","37,89,249","13,08,88,375.13","2,977"
"08-Aug-2024","EQ","38.75","38.75","35.50","37.37","36.50","36.20","35.80","53.01","13.20","11,43,386","4,09,37,147.76","3,419"
"07-Aug-2024","EQ","38.50","39.00","36.51","38.09","37.40","37.37","37.33","53.01","13.20","5,13,798","1,91,79,354.48","2,979"
"06-Aug-2024","EQ","34.47","38.10","34.47","36.29","38.10","38.09","37.48","53.01","13.20","53,61,498","20,09,52,652.99","5,909"
"05-Aug-2024","EQ","36.29","36.29","36.29","38.21","36.29","36.29","36.29","53.01","13.20","1,21,118","43,95,372.22","464"
"02-Aug-2024","EQ","38.21","39.80","38.21","40.23","38.21","38.21","38.33","53.01","13.00","14,82,576","5,68,33,739.19","1,843"
"01-Aug-2024","EQ","43.39","43.40","40.23","42.35","40.23","40.23","40.77","53.01","13.00","15,71,175","6,40,57,700.17","2,962"
"31-Jul-2024","EQ","45.00","45.00","41.85","44.06","41.85","42.35","42.29","53.01","13.00","22,63,406","9,57,29,664.26","3,748"
"30-Jul-2024","EQ","44.90","45.53","43.63","44.41","43.99","44.06","44.30","53.01","13.00","3,30,184","1,46,27,728.10","2,615"
"29-Jul-2024","EQ","46.59","46.59","43.81","45.80","45.00","44.41","44.64","53.01","13.00","3,59,646","1,60,53,387.86","2,520"